T1_Tank_1	T1_Tank_2	T1_Tank_3	T1_Tank_4	T1_Tank_5	T1_Tank_6	T1_Tank_7	T1_Tank_8	T1_Tank_9	T1_Tank_10	T2_Tank_1	T2_Tank_2	T2_Tank_3	T2_Tank_4	T2_Tank_5	T2_Tank_6	T2_Tank_7	T2_Tank_8	T2_Tank_9	T2_Tank_10	T3_Tank_1	T3_Tank_2	T3_Tank_3	T3_Tank_4	T3_Tank_5	T3_Tank_6	T3_Tank_7	T3_Tank_8	T3_Tank_9	T3_Tank_10	T3_EM1	T3_Lambda
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_87	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_89	0	3	1	2	0	0	0	0	5	0	1	1	4	0	1	0	1	3	3	0	1	2	0	0	1	0	6	0	2	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_91	22	25	12	16	9	0	3	13	6	2	24	24	34	8	9	2	12	31	12	19	3	7	9	11	6	0	4	3	9	8	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_92	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_93	0	2	1	2	0	0	0	1	0	0	2	2	0	1	0	1	2	3	0	0	0	2	0	6	0	0	1	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_94	3	9	2	5	2	0	1	1	0	1	8	9	2	0	0	0	0	6	1	2	1	1	0	1	3	0	0	1	1	2	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_95	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_96	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_97	3	11	7	9	14	0	2	2	0	0	3	7	5	4	0	2	2	4	0	3	1	8	7	2	0	0	0	3	0	6	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_99	0	4	1	2	0	0	0	0	0	0	0	4	0	2	0	0	4	6	0	1	0	3	0	1	0	0	1	1	0	2	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_100	36	114	37	80	26	0	6	13	1	9	47	114	28	15	6	7	32	73	4	44	16	36	19	19	5	0	9	9	2	38	0	0
